height,weight,label
185,45,1
167,37,1
191,79,2
122,73,3
182,62,2
130,60,3
195,62,1
179,57,1
153,46,2
172,79,3
200,37,1
162,38,1
168,36,1
186,46,1
125,39,2
159,80,3
200,59,1
171,73,2
188,38,1
145,43,2
182,48,1
187,40,1
124,45,3
200,62,1
139,48,2
138,55,3
131,55,3
137,43,2
133,35,2
120,77,3
164,41,1
174,43,1
120,62,3
163,58,2
157,35,1
163,47,1
195,44,1
200,79,2
137,51,3
133,42,2
139,78,3
181,74,2
193,55,1
139,44,2
140,59,3
195,45,1
136,41,2
135,54,3
166,74,3
122,59,3
136,54,3
187,50,1
163,55,2
174,58,2
128,62,3
191,80,2
177,49,1
144,40,2
134,55,3
168,36,1
188,75,2
165,41,1
140,36,1
190,77,2
156,53,2
126,75,3
197,37,1
189,60,1
168,56,2
152,35,1
176,70,2
198,71,1
156,54,2
124,71,3
190,69,2
135,53,3
180,74,2
165,77,3
150,65,3
133,44,2
153,78,3
156,44,1
123,56,3
187,59,1
123,43,3
174,35,1
124,65,3
127,72,3
195,63,1
194,45,1
175,48,1
166,46,1
159,38,1
169,59,2
151,45,2
132,67,3
195,69,1
164,70,3
161,79,3
185,72,2
192,72,2
174,45,1
150,75,3
123,47,3
132,78,3
132,59,3
164,46,1
141,47,2
153,50,2
194,42,1
191,57,1
137,40,2
130,74,3
121,35,2
149,46,2
180,57,1
190,53,1
138,79,3
162,48,1
191,39,1
145,57,3
134,79,3
184,68,2
177,41,1
139,46,2
154,77,3
153,59,3
187,79,2
127,60,3
192,61,1
175,74,2
135,59,3
146,41,2
196,59,1
200,77,2
196,67,1
190,45,1
177,49,1
128,47,3
136,37,2
159,68,3
175,68,2
155,36,1
183,78,2
164,61,2
121,65,3
181,68,2
175,37,1
123,66,3
161,75,3
129,54,3
199,74,2
183,53,1
184,61,1
146,63,3
176,44,1
132,37,2
122,70,3
123,40,3
122,77,3
153,63,3
168,35,1
154,69,3
159,35,1
172,73,2
137,78,3
165,61,2
181,57,1
175,80,3
172,74,3
125,36,2
167,51,1
164,76,3
177,51,1
120,59,3
199,36,1
189,63,1
198,44,1
156,54,2
151,42,1
155,35,1
144,40,2
190,58,1
153,78,3
158,44,1
155,67,3
187,57,1
134,41,2
157,64,3
130,64,3
189,35,1
174,52,1
120,48,3
158,37,1
187,62,1
190,72,2
149,66,3
166,42,1
146,38,1
174,44,1
197,49,1
130,78,3
136,78,3
173,66,2
146,41,2
129,76,3
125,38,2
170,41,1
195,43,1
163,63,2
146,49,2
150,58,3
156,46,2
158,55,2
179,49,1
163,75,3
156,54,2
193,43,1
147,53,2
130,66,3
180,75,2
152,35,1
132,49,3
168,67,2
162,43,1
178,41,1
161,36,1
156,51,2
183,62,2
165,73,3
167,55,2
129,39,2
177,40,1
185,69,2
169,54,2
179,55,1
121,44,3
150,41,1
153,63,3
162,37,1
142,56,3
127,67,3
155,60,2
198,41,1
197,36,1
198,58,1
125,64,3
156,75,3
156,71,3
181,61,2
179,61,2
177,74,2
144,66,3
133,52,3
135,35,2
130,57,3
190,78,2
147,57,3
121,48,3
122,78,3
174,68,2
139,40,2
145,49,2
126,70,3
154,70,3
173,77,3
173,67,2
126,56,3
152,45,2
193,70,2
172,47,1
134,72,3
156,45,1
187,69,2
149,55,2
197,61,1
171,57,2
132,42,2
134,76,3
178,58,1
184,72,2
168,49,1
195,79,2
162,77,3
145,44,2
185,49,1
163,53,2
128,41,3
159,41,1
180,69,2
130,44,3
148,39,1
170,38,1
126,62,3
162,74,3
177,71,2
188,71,2
196,67,1
149,66,3
130,79,3
187,44,1
184,66,2
186,58,1
124,60,3
156,68,3
178,39,1
183,76,2
129,52,3
185,47,1
153,37,1
120,48,3
168,44,1
141,75,3
190,80,2
155,56,2
197,36,1
186,79,2
195,51,1
194,39,1
177,72,2
162,51,2
153,63,3
190,36,1
160,50,2
143,39,2
133,65,3
142,36,1
185,61,1
179,79,2
131,36,2
189,79,2
197,73,2
132,35,2
168,60,2
199,59,1
129,41,2
124,45,3
168,66,2
191,41,1
163,74,3
133,60,3
191,70,2
162,45,1
189,78,2
146,57,3
168,63,2
175,64,2
199,36,1
120,44,3
165,68,2
181,56,1
170,73,3
171,60,2
195,53,1
170,72,2
196,73,2
154,38,1
172,45,1
144,51,2
178,46,1
156,51,2
189,71,2
166,62,2
161,46,1
199,77,2
158,41,1
200,69,1
140,73,3
136,55,3
123,80,3
186,50,1
174,40,1
123,67,3
183,67,2
134,47,3
196,40,1
160,76,3
175,80,3
170,59,2
137,43,2
197,70,1
153,68,3
190,65,1
190,72,2
139,53,3
185,60,1
140,68,3
179,42,1
189,73,2
121,49,3
165,66,2
193,68,1
145,42,2
177,50,1
170,57,2
159,64,3
180,40,1
192,39,1
195,67,1
153,72,3
149,52,2
136,57,3
190,77,2
161,58,2
141,44,2
128,56,3
141,64,3
176,72,2
183,55,1
123,35,2
182,74,2
182,52,1
197,51,1
173,61,2
144,50,2
193,74,2
177,53,1
125,69,3
159,57,2
192,70,2
125,80,3
149,79,3
200,56,1
193,55,1
175,44,1
200,63,1
143,64,3
134,65,3
130,79,3
125,69,3
143,71,3
145,56,3
192,45,1
138,70,3
151,64,3
133,50,3
155,73,3
154,51,2
195,50,1
123,48,3
175,37,1
139,64,3
176,61,2
195,37,1
152,49,2
191,51,1
162,60,2
155,51,2
180,72,2
190,54,1
156,44,1
128,63,3
141,44,2
161,52,2
138,75,3
121,63,3
148,58,3
144,59,3
142,37,1
120,64,3
173,72,2
152,42,1
177,69,2
147,35,1
182,68,2
193,59,1
144,70,3
145,69,3
158,77,3
128,50,3
192,61,1
175,74,2
193,70,2
185,45,1
143,58,3
140,73,3
165,67,2
184,70,2
158,54,2
187,39,1
135,54,3
188,46,1
152,79,3
197,58,1
172,36,1
159,68,3
189,38,1
200,58,1
122,69,3
198,73,2
200,70,1
171,52,1
151,52,2
146,69,3
171,75,3
196,44,1
166,46,1
191,74,2
134,62,3
196,55,1
158,48,2
178,63,2
198,54,1
143,43,2
143,59,3
136,62,3
172,61,2
189,73,2
133,76,3
143,74,3
180,61,2
163,48,1
190,63,1
195,71,2
160,73,3
173,77,3
167,39,1
187,51,1
122,56,3
129,44,3
195,69,1
132,69,3
176,69,2
189,76,2
171,63,2
136,52,3
162,75,3
200,58,1
186,37,1
171,40,1
143,69,3
173,73,2
144,50,2
123,72,3
166,39,1
186,61,1
186,73,2
175,65,2
136,41,2
179,61,2
185,51,1
143,76,3
120,39,3
135,55,3
125,65,3
122,76,3
153,49,2
158,38,1
193,68,1
120,35,2
129,72,3
167,60,2
158,57,2
171,66,2
176,49,1
137,61,3
187,79,2
163,65,2
122,66,3
138,54,3
158,79,3
172,73,2
193,63,1
158,79,3
132,52,3
168,36,1
173,55,1
183,55,1
179,51,1
156,71,3
163,72,3
192,62,1
180,48,1
170,37,1
184,76,2
137,71,3
149,79,3
181,38,1
