teaching,international,research,citations,income,num_students,student_staff_ratio,international_students,total_score,Label
12.4,95.6,10.6,13.3,33.3,5226,14.1,0.82,59.8,0
29.9,90.1,20.1,65.3,33.9,2473,15.6,0.63,59.8,0
24.7,82.6,18.9,43.5,28.4,2473,15.6,0.63,59.8,0
61.3,98.6,67.5,94.6,65.4,9666,10.5,0.54,76.1,1
62.4,98.8,57,95,49.8,9666,10.5,0.54,73,1
54.7,98.8,56.9,95,61.9,9666,10.5,0.54,70.9,1
52.9,98.2,48.3,95.9,49.2,9666,10.5,0.54,67.7,1
55,100,56.1,83.8,38,9666,10.5,0.54,66.5,1
53.1,98.9,43.9,95.3,46.7,9666,10.5,0.54,66.3,1
25,99.8,26.7,84.8,38.1,5144,15.9,0.52,49.4,0
88.8,92.2,88.7,93.9,93.1,15060,11.7,0.51,90.7,1
89.2,90,94.5,88.3,92.9,15060,11.7,0.51,90.6,1
88,91.4,90.9,93,87.5,15060,11.7,0.51,90.6,1
83.3,96,88.5,96.7,53.7,15060,11.7,0.51,89.1,1
84.6,92.7,88.3,89.4,72.7,15060,11.7,0.51,87.5,1
84.5,91.8,88.1,90,72.3,15060,11.7,0.51,87.5,1
23.5,89.6,21.2,43.5,28.9,13053,17.8,0.5,59.8,0
37.5,95.5,47.7,82.7,95.4,15626,18.9,0.48,59.9,0
39.7,85.2,53.2,62.5,99.1,15626,18.9,0.48,55.5,0
32.4,89.7,48.1,70.1,96.1,15626,18.9,0.48,54.3,0
33.1,89.1,47.1,65.8,98.2,15626,18.9,0.48,52.9,0
30.6,86.4,30.5,53.9,48,15626,18.9,0.48,41.5,0
49.7,92.3,47.3,78.8,30.6,8338,12.7,0.47,60.4,1
43.2,86.3,43.8,76.6,38.9,8338,12.7,0.47,56.5,0
44.8,85.7,47.7,72.9,32.6,8338,12.7,0.47,56.5,0
37.1,89.1,40.2,83,34.1,8338,12.7,0.47,55.7,0
35.7,90.5,35.9,81.4,39.8,8338,12.7,0.47,53.6,0
36.9,88.8,32.2,77.3,40.3,8338,12.7,0.47,51.6,0
78.1,94.4,91,94.2,40.5,26607,10.7,0.46,87.1,1
83.5,89,88.8,86.8,45.1,26607,10.7,0.46,85.5,1
77.8,91.8,84.3,89,41.4,26607,10.7,0.46,83.2,1
70.4,90.6,80.4,85.1,46.2,26607,10.7,0.46,78.7,1
74,90.8,81.6,80.6,39,26607,10.7,0.46,78.4,1
70.5,90.2,77.5,84.1,46.8,26607,10.7,0.46,77.6,1
18.5,81,10.6,25.7,48,17753,24.7,0.44,59.8,0
21.3,93,23.2,46.5,42.3,27930,20,0.44,59.8,0
20.9,91.1,23.8,54.2,37.9,27930,20,0.44,59.8,0
22,86.8,29.6,54.8,37.2,27930,20,0.44,59.8,0
24,89.2,24.8,50.2,36.2,27930,20,0.44,59.8,0
28.5,90,27.2,52.3,33.1,27930,20,0.44,59.8,0
16.7,86.4,16,51.7,49.9,16606,32.8,0.43,59.8,0
19.4,83.3,18.9,49.6,44.2,16606,32.8,0.43,59.8,0
21.2,85.3,17.8,46.5,40.5,16606,32.8,0.43,59.8,0
18.7,88.3,19.6,51.2,36.5,16606,32.8,0.43,59.8,0
17.3,81.9,11.7,21.1,28.5,16609,21,0.43,59.8,0
20.7,84.2,21.4,42.1,48.4,8773,17.8,0.43,59.8,0
23.4,90.1,22.4,36.4,45.6,8773,17.8,0.43,59.8,0
24.7,87.8,20.8,39,44.3,8773,17.8,0.43,59.8,0
21.5,82.6,16.2,18.8,41.1,8773,17.8,0.43,59.8,0
9.9,99.9,10.3,22.3,55.2,9583,19,0.42,59.8,0
34.1,93.5,41.3,93.3,36.8,14260,14,0.4,58.5,0
39.7,91,44.1,73.5,38.9,14260,14,0.4,54.6,0
32.4,88.6,32.9,88.9,37.1,14260,14,0.4,53.8,0
33.1,87,30,85.4,42.7,14260,14,0.4,52.1,0
31,88,29.2,87,37.7,14260,14,0.4,51.7,0
29,88.8,28.6,83.7,36.6,14260,14,0.4,49.9,0
30.6,82.4,30.5,47.6,32.7,12695,19.8,0.39,59.8,0
33.7,86.4,34.6,39.6,31,12695,19.8,0.39,59.8,0
31.6,86.7,29,39.3,29.1,12695,19.8,0.39,59.8,0
33.9,93.7,33.3,38.6,28.9,12695,19.8,0.39,59.8,0
31.7,90.1,35.9,37,28.3,12695,19.8,0.39,59.8,0
23.9,93.4,17.1,77,42,18209,16.9,0.39,59.8,0
25.2,91.4,17.2,70.6,40.2,18209,16.9,0.39,59.8,0
23.6,95.7,16.9,67.3,39.9,18209,16.9,0.39,59.8,0
36.6,88.7,17.9,71.6,38.2,18209,16.9,0.39,59.8,0
23.1,90.7,13.8,65.7,32.8,18209,16.9,0.39,59.8,0
34.9,98.5,40.5,78.5,72.4,15668,15,0.39,55.4,0
46.6,95.7,49.7,63.1,32.7,15668,15,0.39,55,0
34.5,96.8,37.2,78.2,65.1,15668,15,0.39,53.8,0
36.2,95.3,42.5,73.1,32.4,15668,15,0.39,53.5,0
31.4,96.7,33.9,77.2,38.3,15668,15,0.39,51,0
34.9,97.5,39,65.1,32.7,15668,15,0.39,49.8,0
37.9,99.5,34.8,60.2,35,18209,16.9,0.39,47.2,0
68.4,91.4,71.4,96.1,56.5,19835,17.6,0.38,79.2,1
78.4,81.7,85.9,62.1,62.5,19835,17.6,0.38,75.6,1
74,83.7,80.1,60.5,64.1,19835,17.6,0.38,72.3,1
64.6,99.5,72.8,70.1,53.7,19835,17.6,0.38,71,1
62.1,81.9,72.6,65.1,56,19835,17.6,0.38,67.5,1
61.6,80.3,69.9,61.5,56.9,19835,17.6,0.38,65.3,1
17.3,95.6,9.8,21.7,28.5,18981,18.1,0.38,59.8,0
24.8,91.8,23.3,39.5,34.7,12613,17.6,0.38,59.8,0
21.6,89.1,19.1,64.6,34.1,12613,17.6,0.38,59.8,0
19.3,89.4,20.1,58.2,33.4,12613,17.6,0.38,59.8,0
22.1,88.8,21.4,75.3,31.9,12613,17.6,0.38,59.8,0
17.4,89.9,20.3,51.7,30,12613,17.6,0.38,59.8,0
31.3,83.5,27.4,59.9,29,9454,17.2,0.38,59.8,0
28.3,84.4,29.3,60.4,28.7,9454,17.2,0.38,59.8,0
33.5,89.9,35.1,66.3,28.5,9454,17.2,0.38,59.8,0
20.1,93.1,20.2,44.6,37.8,30333,17.1,0.38,59.8,0
20.1,91.3,17.1,45.3,36.1,30333,17.1,0.38,59.8,0
