날짜,1인가구
2019-01-01,44
2019-01-02,34
2019-01-03,19
2019-01-04,24
2019-01-05,31
2019-01-06,69
2019-01-07,23
2019-01-08,34
2019-01-09,53
2019-01-10,31
2019-01-11,23
2019-01-12,32
2019-01-13,31
2019-01-14,13
2019-01-15,35
2019-01-16,27
2019-01-17,21
2019-01-18,13
2019-01-19,29
2019-01-20,47
2019-01-21,24
2019-01-22,34
2019-01-23,42
2019-01-24,18
2019-01-25,27
2019-01-26,18
2019-01-27,53
2019-01-28,32
2019-01-29,19
2019-01-30,26
2019-01-31,23
2019-02-01,11
2019-02-02,37
2019-02-03,66
2019-02-04,13
2019-02-05,35
2019-02-06,15
2019-02-07,2
2019-02-08,40
2019-02-09,29
2019-02-10,24
2019-02-11,13
2019-02-12,26
2019-02-13,24
2019-02-14,26
2019-02-15,58
2019-02-16,34
2019-02-17,50
2019-02-18,18
2019-02-19,19
2019-02-20,26
2019-02-21,13
2019-02-22,15
2019-02-23,27
2019-02-24,24
2019-02-25,47
2019-02-26,45
2019-02-27,15
2019-02-28,10
2019-03-01,5
2019-03-02,11
2019-03-03,19
2019-03-04,27
2019-03-05,10
2019-03-06,10
2019-03-07,21
2019-03-08,13
2019-03-09,55
2019-03-10,29
2019-03-11,31
2019-03-12,18
2019-03-13,8
2019-03-14,52
2019-03-15,27
2019-03-16,13
2019-03-17,68
2019-03-18,11
2019-03-19,21
2019-03-20,27
2019-03-21,2
2019-03-22,6
2019-03-23,13
2019-03-24,31
2019-03-25,23
2019-03-26,15
2019-03-27,16
2019-03-28,39
2019-03-29,16
2019-03-30,21
2019-03-31,11
2019-04-01,21
2019-04-02,24
2019-04-03,10
2019-04-04,8
2019-04-05,21
2019-04-06,16
2019-04-07,21
2019-04-08,45
2019-04-09,26
2019-04-10,8
2019-04-11,10
2019-04-12,8
2019-04-13,8
2019-04-14,34
2019-04-15,11
2019-04-16,100
2019-04-17,18
2019-04-18,18
2019-04-19,8
2019-04-20,8
2019-04-21,5
2019-04-22,29
2019-04-23,5
2019-04-24,19
2019-04-25,19
2019-04-26,3
2019-04-27,18
2019-04-28,13
2019-04-29,29
2019-04-30,13
2019-05-01,6
2019-05-02,24
2019-05-03,13
2019-05-04,2
2019-05-05,3
2019-05-06,13
2019-05-07,11
2019-05-08,10
2019-05-09,18
2019-05-10,11
2019-05-11,15
2019-05-12,26
2019-05-13,23
2019-05-14,21
2019-05-15,11
2019-05-16,27
2019-05-17,13
2019-05-18,5
2019-05-19,11
2019-05-20,10
2019-05-21,16
2019-05-22,3
2019-05-23,11
2019-05-24,6
2019-05-25,8
2019-05-26,3
2019-05-27,23
2019-05-28,35
2019-05-29,5
2019-05-30,13
2019-05-31,13
2019-06-01,23
2019-06-02,3
2019-06-03,34
2019-06-04,15
2019-06-05,15
2019-06-06,31
2019-06-07,8
2019-06-08,11
2019-06-09,18
2019-06-10,15
2019-06-11,5
2019-06-12,6
2019-06-13,6
2019-06-14,13
2019-06-15,5
2019-06-16,5
2019-06-17,10
2019-06-18,10
2019-06-19,18
2019-06-20,11
2019-06-21,5
2019-06-22,31
2019-06-23,21
2019-06-24,34
2019-06-25,16
