기간	자치구	성별	합계	주택(거처)의 종류	주택(거처)의 종류	주택(거처)의 종류	주택(거처)의 종류	주택(거처)의 종류	주택(거처)의 종류	주택이외의 거처
기간	자치구	성별	합계	계	단독주택	아파트	연립주택	다세대주택	비거주용 건물내 주택	주택이외의 거처
2018	합계	계	1,229,421	1,045,047	513,330	264,524	18,680	205,178	43,335	184,374
2018	합계	남자	581,944	485,596	262,165	100,969	7,514	91,526	23,422	96,348
2018	합계	여자	647,477	559,451	251,165	163,555	11,166	113,652	19,913	88,026
2018	종로구	계	25,326	20,633	12,405	3,014	877	3,363	974	4,693
2018	종로구	남자	12,635	9,867	6,367	1,227	314	1,442	517	2,768
2018	종로구	여자	12,691	10,766	6,038	1,787	563	1,921	457	1,925
2018	중구	계	20,803	16,522	7,161	5,875	337	2,312	837	4,281
2018	중구	남자	10,052	7,640	3,486	2,418	152	1,123	461	2,412
2018	중구	여자	10,751	8,882	3,675	3,457	185	1,189	376	1,869
2018	용산구	계	34,240	29,856	16,962	6,164	740	5,405	585	4,384
2018	용산구	남자	15,794	13,300	7,935	2,331	317	2,437	280	2,494
2018	용산구	여자	18,446	16,556	9,027	3,833	423	2,968	305	1,890
2018	성동구	계	40,706	35,978	19,574	11,160	305	3,319	1,620	4,728
2018	성동구	남자	20,309	17,738	10,757	4,333	130	1,620	898	2,571
2018	성동구	여자	20,397	18,240	8,817	6,827	175	1,699	722	2,157
2018	광진구	계	56,337	50,250	34,025	3,591	585	9,655	2,394	6,087
2018	광진구	남자	27,057	24,028	17,100	1,359	218	4,129	1,222	3,029
2018	광진구	여자	29,280	26,222	16,925	2,232	367	5,526	1,172	3,058
2018	동대문구	계	55,593	47,915	29,027	10,703	622	5,234	2,329	7,678
2018	동대문구	남자	28,098	23,847	15,399	4,340	292	2,609	1,207	4,251
2018	동대문구	여자	27,495	24,068	13,628	6,363	330	2,625	1,122	3,427
2018	중랑구	계	49,207	45,940	28,846	8,012	834	6,787	1,461	3,267
2018	중랑구	남자	24,711	22,833	15,407	3,085	363	3,177	801	1,878
2018	중랑구	여자	24,496	23,107	13,439	4,927	471	3,610	660	1,389
2018	성북구	계	55,136	50,351	28,327	10,703	1,140	7,457	2,724	4,785
2018	성북구	남자	24,777	22,430	13,442	3,993	476	3,236	1,283	2,347
2018	성북구	여자	30,359	27,921	14,885	6,710	664	4,221	1,441	2,438
2018	강북구	계	40,872	38,020	20,918	6,208	893	9,084	917	2,852
2018	강북구	남자	18,508	16,858	10,104	2,175	323	3,786	470	1,650
2018	강북구	여자	22,364	21,162	10,814	4,033	570	5,298	447	1,202
2018	도봉구	계	30,848	28,410	11,765	9,737	626	5,745	537	2,438
2018	도봉구	남자	13,586	12,120	5,881	3,302	250	2,408	279	1,466
2018	도봉구	여자	17,262	16,290	5,884	6,435	376	3,337	258	972
2018	노원구	계	51,280	48,843	11,789	31,115	639	4,429	871	2,437
