기간	구분	성별	합계	20세미만	20~24세	25~29세	30~34세	35~39세	40~44세	45~49세	50~54세	55~59세	60~64세	65~69세	70~74세	75~79세	80~84세	85세이상
2018	합계	계	1,229,421	14,487	109,213	195,284	155,740	118,254	84,910	88,852	75,442	83,433	82,818	63,468	56,393	49,529	31,917	19,681
2018	합계	남자	581,944	5,629	39,816	97,792	87,035	66,348	48,293	52,190	44,348	43,292	35,991	22,888	16,656	11,828	6,298	3,540
2018	합계	여자	647,477	8,858	69,397	97,492	68,705	51,906	36,617	36,662	31,094	40,141	46,827	40,580	39,737	37,701	25,619	16,141
2018	종로구	계	25,326	798	3,741	4,007	2,587	1,880	1,454	1,734	1,578	1,683	1,508	1,113	1,111	1,014	674	444
2018	종로구	남자	12,635	304	1,761	2,259	1,441	976	778	964	908	972	801	494	409	307	165	96
2018	종로구	여자	12,691	494	1,980	1,748	1,146	904	676	770	670	711	707	619	702	707	509	348
2018	중구	계	20,803	585	2,137	2,809	2,301	1,786	1,349	1,589	1,355	1,514	1,443	1,120	922	898	607	388
2018	중구	남자	10,052	180	772	1,463	1,274	985	742	964	812	855	765	486	319	217	140	78
2018	중구	여자	10,751	405	1,365	1,346	1,027	801	607	625	543	659	678	634	603	681	467	310
2018	용산구	계	34,240	307	2,620	5,056	4,813	3,764	2,644	2,720	2,117	2,132	2,094	1,520	1,417	1,320	1,022	694
2018	용산구	남자	15,794	60	483	2,388	2,717	2,040	1,449	1,516	1,253	1,188	1,037	629	423	305	186	120
2018	용산구	여자	18,446	247	2,137	2,668	2,096	1,724	1,195	1,204	864	944	1,057	891	994	1,015	836	574
2018	성동구	계	40,706	758	4,756	6,529	4,752	3,642	2,802	2,967	2,656	2,744	2,583	1,831	1,654	1,540	981	511
2018	성동구	남자	20,309	314	2,090	3,560	2,725	2,055	1,619	1,751	1,669	1,540	1,266	671	465	321	187	76
2018	성동구	여자	20,397	444	2,666	2,969	2,027	1,587	1,183	1,216	987	1,204	1,317	1,160	1,189	1,219	794	435
2018	광진구	계	56,337	736	6,523	11,198	7,919	5,555	3,718	3,738	3,220	3,490	3,136	2,174	1,857	1,525	978	570
2018	광진구	남자	27,057	308	2,436	5,498	4,211	2,985	2,139	2,191	1,939	1,844	1,412	823	624	356	198	93
2018	광진구	여자	29,280	428	4,087	5,700	3,708	2,570	1,579	1,547	1,281	1,646	1,724	1,351	1,233	1,169	780	477
2018	동대문구	계	55,593	1,844	9,343	9,018	5,328	3,905	3,055	3,321	3,084	3,410	3,477	2,769	2,526	2,354	1,361	798
2018	동대문구	남자	28,098	693	3,965	5,361	3,245	2,326	1,860	2,084	1,955	1,931	1,685	1,116	787	639	289	162
2018	동대문구	여자	27,495	1,151	5,378	3,657	2,083	1,579	1,195	1,237	1,129	1,479	1,792	1,653	1,739	1,715	1,072	636
2018	중랑구	계	49,207	167	1,770	4,767	4,721	4,412	3,466	4,372	4,623	5,165	4,804	3,368	2,846	2,484	1,407	835
2018	중랑구	남자	24,711	63	621	2,311	2,694	2,675	2,112	2,764	2,907	2,927	2,354	1,350	848	634	311	140
2018	중랑구	여자	24,496	104	1,149	2,456	2,027	1,737	1,354	1,608	1,716	2,238	2,450	2,018	1,998	1,850	1,096	695
2018	성북구	계	55,136	1,616	10,144	8,478	4,877	3,663	2,843	3,468	2,947	3,305	3,425	2,681	2,655	2,433	1,626	975
