"특성별(1)"	특성별(2)	2017	2017	2017	2017	2017	2017	2017	2017	2017	2017	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2019	2019	2019	2019	2019	2019	2019	2019
"특성별(1)"	특성별(2)	미혼 1인 가구 여부	미혼 1인 가구 여부	주거 형태	주거 형태	주거 형태	주거 형태	주거 형태	주거 형태	주거 형태	주거 형태	미혼 1인 가구 여부	미혼 1인 가구 여부	주거 형태	주거 형태	주거 형태	주거 형태	주거 형태	주거 형태	주거 형태	주거 형태	미혼 1인 가구 여부	미혼 1인 가구 여부	주거 형태	주거 형태	주거 형태	주거 형태	주거 형태	주거 형태
"특성별(1)"	특성별(2)	예	아니오	원룸(다가구)	아파트	다세대?빌라	오피스텔	기숙사	하숙	고시원	기타	예	아니오	원룸(다가구)	아파트	다세대?빌라	오피스텔	기숙사	하숙	고시원	기타	예	아니오	원룸(다가구)	아파트	다세대?빌라	오피스텔	기숙사	기타
"전체"	소계	25.3	74.7	37.1	27.7	22.2	6.5	2.8	0.2	0.0	3.5	15.7	84.3	19.4	26.9	32.5	12.4	0.4	0.2	0.0	8.3	20.6	79.4	47.1	17.5	21.9	7.2	3.1	3.2
"성별"	남자	34.0	66.0	32.2	28.3	26.2	5.1	4.0	0.0	0.0	4.2	20.2	79.8	19.1	29.1	34.8	9.2	0.6	0.3	0.0	7.1	27.5	72.5	45.0	20.4	21.8	6.6	3.3	2.8
"성별"	여자	17.2	82.8	46.3	26.5	14.6	9.1	0.7	0.5	0.0	2.3	11.2	88.8	19.9	23.0	28.3	18.2	0.0	0.0	0.0	10.6	14.2	85.8	50.9	12.2	21.9	8.3	2.9	3.8
"연령별"	만15-18세	66.5	33.5	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-	-	-	-	-	-	-	-	-	-	77.4	22.6	46.1	0.0	0.0	0.0	53.9	0.0
"연령별"	만19-29세	52.1	47.9	41.8	25.6	17.2	8.7	5.0	0.3	0.0	1.4	43.7	56.3	18.9	22.1	41.1	10.0	0.9	0.4	0.0	6.6	46.0	54.0	54.1	15.7	18.9	5.4	3.6	2.2
"연령별"	만30-39세	15.0	85.0	30.3	30.8	29.0	3.5	0.0	0.0	0.0	6.4	10.6	89.4	19.7	30.6	26.0	14.1	0.0	0.0	0.0	9.6	10.8	89.2	35.9	21.1	27.4	10.4	0.3	4.8
"지역별"	서울	29.7	70.3	26.0	19.4	35.2	15.3	4.0	0.0	0.0	0.0	11.1	88.9	5.9	13.1	22.3	58.7	0.0	0.0	0.0	0.0	21.0	79.0	22.3	17.5	35.9	22.4	0.0	1.9
"지역별"	인천·경기	19.7	80.3	19.0	35.6	35.4	2.8	4.8	0.0	0.0	2.4	13.3	86.7	9.9	44.7	34.8	0.0	0.0	0.0	0.0	10.6	11.8	88.2	25.6	22.5	49.3	2.7	0.0	0.0
"지역별"	대전·충청·세종·강원	29.5	70.5	28.4	51.6	8.9	0.0	4.3	0.0	0.0	6.8	23.3	76.7	26.0	21.3	49.0	2.4	0.0	0.0	0.0	1.4	32.8	67.2	63.7	21.2	8.5	0.9	1.5	4.1
"지역별"	광주·전라·제주	24.6	75.4	67.8	26.2	4.2	0.0	0.0	0.0	0.0	1.9	17.6	82.4	30.0	28.2	15.6	0.0	0.0	1.6	0.0	24.6	24.5	75.5	56.4	16.0	7.2	5.3	10.1	5.1
"지역별"	부산·울산·경남	28.0	72.0	54.3	17.4	8.6	12.5	0.0	0.0	0.0	7.1	18.1	81.9	29.5	16.8	11.7	28.4	0.0	0.0	0.0	13.6	16.6	83.4	51.7	17.5	5.7	12.5	10.8	1.8
"지역별"	대구·경북	25.0	75.0	66.5	4.9	20.9	0.0	0.0	2.0	0.0	5.8	15.6	84.4	24.4	20.4	45.9	0.0	4.2	0.0	0.0	5.1	28.5	71.5	67.7	6.2	16.9	0.0	2.5	6.7
"학력별"	대학생·대학원생	62.3	37.7	47.6	15.3	16.2	9.6	10.7	0.6	0.0	0.0	52.0	48.0	12.7	19.2	47.0	10.7	0.0	0.0	0.0	10.4	72.7	27.3	55.8	12.5	13.5	5.4	12.8	0.0
"학력별"	고졸이하	25.8	74.2	30.8	29.3	32.2	0.9	0.0	0.0	0.0	6.8	20.0	80.0	21.0	31.7	31.1	6.9	1.0	0.0	0.0	8.2	19.8	80.2	48.3	19.5	24.9	0.7	0.4	6.2
"학력별"	대졸이상	18.8	81.2	34.6	33.8	20.0	7.8	0.0	0.0	0.0	3.7	11.9	88.1	19.6	25.1	30.2	16.9	0.0	0.4	0.0	7.9	15.7	84.3	42.2	18.6	23.9	12.3	0.4	2.7
"주거형태별"	비동거·독립	25.3	74.7	37.1	27.7	22.2	6.5	2.8	0.2	0.0	3.5	15.7	84.3	19.4	26.9	32.5	12.4	0.4	0.2	0.0	8.3	20.6	79.4	47.1	17.5	21.9	7.2	3.1	3.2
