"_id",title,singer,like,img
5f100d94ba857ecae0ac7843,How You Like That,BLACKPINK,113791,https://cdnimg.melon.co.kr/cm2/album/images/104/51/566/10451566_20200626114914_500.jpg/melon/resize/120/quality/80/optimize
5f100d94ba857ecae0ac7844,Summer Hate (Feat. 비),지코 (ZICO),63280,https://cdnimg.melon.co.kr/cm2/album/images/104/53/701/10453701_20200701151802_500.jpg/melon/resize/120/quality/80/optimize
5f100d94ba857ecae0ac7845,마리아 (Maria),화사 (Hwa Sa),65487,https://cdnimg.melon.co.kr/cm2/album/images/104/52/351/10452351_20200629152036_500.jpg/melon/resize/120/quality/80/optimize
5f100d94ba857ecae0ac7846,Downtown Baby,블루 (BLOO),153449,https://cdnimg.melon.co.kr/cm/album/images/101/17/789/10117789_500.jpg/melon/resize/120/quality/80/optimize
5f100d94ba857ecae0ac7847,여름 안에서 (Covered By 싹쓰리) (Feat. 황광희),"싹쓰리 (유두래곤, 린다G, 비룡)",49420,https://cdnimg.melon.co.kr/cm2/album/images/104/59/197/10459197_20200713094850_500.jpg/melon/resize/120/quality/80/optimize
5f100d94ba857ecae0ac7848,에잇(Prod.&Feat. SUGA of BTS),아이유,295179,https://cdnimg.melon.co.kr/cm2/album/images/104/26/648/10426648_20200506153340_500.jpg/melon/resize/120/quality/80/optimize
5f100d94ba857ecae0ac7849,보라빛 밤 (pporappippam),선미,50405,https://cdnimg.melon.co.kr/cm2/album/images/104/52/354/10452354_20200629152048_500.jpg/melon/resize/120/quality/80/optimize
5f100d94ba857ecae0ac784a,아로하,조정석,180655,https://cdnimg.melon.co.kr/cm2/album/images/104/09/054/10409054_20200326163459_500.jpg/melon/resize/120/quality/80/optimize
5f100d94ba857ecae0ac784b,사랑하게 될 줄 알았어,전미도,107605,https://cdnimg.melon.co.kr/cm2/album/images/104/33/754/10433754_20200521162928_500.jpg/melon/resize/120/quality/80/optimize
5f100d94ba857ecae0ac784c,살짝 설렜어 (Nonstop),오마이걸,136134,https://cdnimg.melon.co.kr/cm2/album/images/104/23/289/10423289_20200427153909_500.jpg/melon/resize/120/quality/80/optimize
5f100d94ba857ecae0ac784d,Into the I-LAND,아이유,81530,https://cdnimg.melon.co.kr/cm2/album/images/104/47/670/10447670_20200619160619_500.jpg/melon/resize/120/quality/80/optimize
5f100d94ba857ecae0ac784e,Dolphin,오마이걸,100350,https://cdnimg.melon.co.kr/cm2/album/images/104/23/289/10423289_20200427153909_500.jpg/melon/resize/120/quality/80/optimize
5f100d94ba857ecae0ac784f,Dance Monkey,Tones And I,108155,https://cdnimg.melon.co.kr/cm2/album/images/103/16/394/10316394_500.jpg/melon/resize/120/quality/80/optimize
5f100d94ba857ecae0ac7850,Memories,Maroon 5,114308,https://cdnimg.melon.co.kr/cm2/album/images/103/30/593/10330593_500.jpg/melon/resize/120/quality/80/optimize
5f100d94ba857ecae0ac7851,MORE & MORE,TWICE (트와이스),66528,https://cdnimg.melon.co.kr/cm2/album/images/104/37/786/10437786_20200601141555_500.jpg/melon/resize/120/quality/80/optimize
5f100d94ba857ecae0ac7852,어떻게 지내 (Prod. By VAN.C),오반,86842,https://cdnimg.melon.co.kr/cm2/album/images/103/99/190/10399190_20200305151138_500.jpg/melon/resize/120/quality/80/optimize
5f100d94ba857ecae0ac7853,Monster,레드벨벳-아이린&슬기,52830,https://cdnimg.melon.co.kr/cm2/album/images/104/56/112/10456112_20200706152509_500.jpg/melon/resize/120/quality/80/optimize
5f100d94ba857ecae0ac7854,METEOR,창모 (CHANGMO),221633,https://cdnimg.melon.co.kr/cm2/album/images/103/59/162/10359162_500.jpg/melon/resize/120/quality/80/optimize
5f100d94ba857ecae0ac7855,Don't Start Now,Dua Lipa,100454,https://cdnimg.melon.co.kr/cm2/album/images/103/45/880/10345880_20200326181909_500.jpg/melon/resize/120/quality/80/optimize
5f100d94ba857ecae0ac7856,아무노래,지코 (ZICO),240560,https://cdnimg.melon.co.kr/cm2/album/images/103/75/118/10375118_20200113150502_500.jpg/melon/resize/120/quality/80/optimize
5f100d94ba857ecae0ac7857,나비와 고양이 (feat.백현 (BAEKHYUN)),볼빨간사춘기,141023,https://cdnimg.melon.co.kr/cm2/album/images/104/27/559/10427559_20200513160836_500.jpg/melon/resize/120/quality/80/optimize
5f100d94ba857ecae0ac7858,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,248863,https://cdnimg.melon.co.kr/cm2/album/images/103/20/500/10320500_500.jpg/melon/resize/120/quality/80/optimize
5f100d94ba857ecae0ac7859,좋은 사람 있으면 소개시켜줘,조이 (JOY),88177,https://cdnimg.melon.co.kr/cm2/album/images/104/05/712/10405712_20200320102711_500.jpg/melon/resize/120/quality/80/optimize
5f100d94ba857ecae0ac785a,Blueming,아이유,249893,https://cdnimg.melon.co.kr/cm2/album/images/103/46/650/10346650_500.jpg/melon/resize/120/quality/80/optimize
5f100d94ba857ecae0ac785b,처음처럼,엠씨더맥스 (M.C the MAX),87203,https://cdnimg.melon.co.kr/cm2/album/images/104/08/131/10408131_20200325151939_500.jpg/melon/resize/120/quality/80/optimize
5f100d94ba857ecae0ac785c,시작,가호 (Gaho),179563,https://cdnimg.melon.co.kr/cm2/album/images/103/81/712/10381712_20200131110358_500.jpg/melon/resize/120/quality/80/optimize
5f100d94ba857ecae0ac785d,PLAY (Feat. 창모),청하,25275,https://cdnimg.melon.co.kr/cm2/album/images/104/56/137/10456137_20200706153246_500.jpg/melon/resize/120/quality/80/optimize
5f100d94ba857ecae0ac785e,깡 Official Remix,식케이 (Sik-K),66710,https://cdnimg.melon.co.kr/cm2/album/images/104/39/549/10439549_20200604115329_500.jpg/melon/resize/120/quality/80/optimize
5f100d94ba857ecae0ac785f,2002,Anne-Marie,14392,https://cdnimg.melon.co.kr/cm/album/images/101/37/250/10137250_500.jpg/melon/resize/120/quality/80/optimize
5f100d94ba857ecae0ac7860,늦은 밤 너의 집 앞 골목길에서,노을,329432,https://cdnimg.melon.co.kr/cm2/album/images/103/48/811/10348811_500.jpg/melon/resize/120/quality/80/optimize
5f100d94ba857ecae0ac7861,OHIO,Crush,56680,https://cdnimg.melon.co.kr/cm2/album/images/104/60/515/10460515_20200714145650_500.jpg/melon/resize/120/quality/80/optimize
5f100d94ba857ecae0ac7862,환상동화 (Secret Story of the Swan),IZ*ONE (아이즈원),149563,https://cdnimg.melon.co.kr/cm2/album/images/104/44/798/10444798_20200615163827_500.jpg/melon/resize/120/quality/80/optimize
5f100d94ba857ecae0ac7863,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션),294566,https://cdnimg.melon.co.kr/cm2/album/images/103/31/947/10331947_500.jpg/melon/resize/120/quality/80/optimize
5f100d94ba857ecae0ac7864,ON,방탄소년단,234462,https://cdnimg.melon.co.kr/cm2/album/images/103/77/346/10377346_20200221153622_500.jpg/melon/resize/120/quality/80/optimize
5f100d94ba857ecae0ac7865,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,382200,https://cdnimg.melon.co.kr/cm/album/images/102/73/641/10273641_500.jpg/melon/resize/120/quality/80/optimize
5f100d94ba857ecae0ac7866,"너에게 난, 나에게 넌",미도와 파라솔,57394,https://cdnimg.melon.co.kr/cm2/album/images/104/36/942/10436942_20200528174019_500.jpg/melon/resize/120/quality/80/optimize
5f100d94ba857ecae0ac7867,마음을 드려요,아이유,157584,https://cdnimg.melon.co.kr/cm2/album/images/103/88/744/10388744_20200214175740_500.jpg/melon/resize/120/quality/80/optimize
5f100d94ba857ecae0ac7868,화려하지 않은 고백,규현 (KYUHYUN),50665,https://cdnimg.melon.co.kr/cm2/album/images/104/12/335/10412335_20200403104545_500.jpg/melon/resize/120/quality/80/optimize
