armed,age,gender,race,state,mentalillness
gun,53,M,A,WA,1
gun,47,M,W,OR,0
unarmed,23,M,H,KS,0
toy weapon,32,M,W,CA,1
nail gun,39,M,H,CO,0
gun,18,M,W,OK,0
gun,22,M,H,AZ,0
gun,35,M,W,KS,0
unarmed,34,F,W,IA,0
toy weapon,47,M,B,PA,0
knife,25,M,W,CA,0
gun,31,M,B,TX,0
knife,41,M,B,OH,1
gun,30,M,W,IA,0
gun,37,M,B,LA,0
,28,M,W,MT,0
shovel,42,M,W,UT,0
unarmed,36,M,B,AR,0
gun,49,M,W,UT,0
gun,71,M,W,AR,0
gun,33,M,H,TX,0
gun,39,M,W,IL,1
gun,23,M,H,CA,0
gun,29,M,H,NV,0
gun,34,M,W,NM,0
knife,43,M,W,TX,1
,24,M,B,MN,0
,29,M,W,MO,0
gun,34,M,B,VA,1
knife,75,M,W,NJ,0
gun,68,M,W,TX,0
knife,34,M,W,UT,0
gun,27,M,B,IN,0
gun,39,M,B,CO,0
gun,24,M,W,MN,1
knife,36,M,H,CA,1
gun,33,M,W,LA,0
gun,41,M,W,TX,0
knife,48,M,O,CA,0
gun,21,M,B,OK,0
gun,24,M,H,CA,0
knife,27,M,H,TX,0
gun,32,M,W,AZ,1
gun,67,M,W,KY,1
knife,49,M,W,MA,0
,42,M,B,AZ,0
gun,36,M,W,CA,0
gun,36,M,H,TX,0
gun,19,M,B,MO,0
gun,54,M,W,NH,1
toy weapon,25,M,B,TX,0
knife,17,F,W,TX,1
,29,M,B,FL,0
knife,56,M,H,TX,0
gun,61,M,W,TX,1
gun,45,M,W,ID,0
knife,26,M,B,MD,1
gun,40,M,W,TX,0
gun,26,M,H,CO,0
gun,59,M,,NJ,0
,17,F,H,CO,0
gun,68,M,W,MN,1
unarmed,24,M,H,TX,0
knife,34,M,H,CA,1
knife,39,F,W,NE,1
,26,M,N,AZ,0
gun,29,M,W,AZ,0
gun,33,M,B,OH,0
gun,45,M,W,TX,0
gun,26,M,W,TX,0
hammer,35,M,A,CA,1
gun,31,M,W,MI,1
unarmed,42,M,W,OK,0
gun,48,M,W,MT,0
gun,31,M,H,TX,0
knife,54,M,B,MD,1
unarmed,59,M,W,PA,0
gun,42,M,W,CA,1
gun,17,M,W,MI,0
gun,23,M,B,MO,0
gun,38,F,B,CA,0
knife,29,M,B,CA,1
gun,45,M,W,GA,1
unarmed,28,M,B,FL,0
gun,37,M,H,FL,0
gun,28,M,H,AZ,0
unarmed,28,M,H,AZ,0
gun,51,M,B,TX,0
knife,36,M,B,TN,0
gun,59,M,W,CA,0
gun,25,M,B,OK,0
toy weapon,26,M,W,CA,0
gun,74,M,B,NC,0
gun,33,M,W,AK,0
gun,27,M,W,TX,0
gun,57,M,W,NY,1
gun,46,M,W,FL,0
gun,41,M,W,TX,0
gun,61,M,W,ME,1
gun,45,M,B,TX,0
gun,49,M,B,TN,0
gun,45,M,W,CO,1
unarmed,35,M,H,WA,1
knife,23,M,B,CA,1
toy weapon,46,M,W,AL,1
,23,M,W,CA,0
gun,21,M,H,KS,0
unarmed,35,M,H,PA,0
gun,27,M,W,TN,0
knife,37,M,H,AZ,1
gun,16,M,W,MD,1
gun,51,M,W,TX,0
gun,34,M,W,MS,0
hatchet,34,M,W,OR,1
unarmed,25,M,B,FL,1
